variable;unit;tier;description;comment;weight;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Scrap|Non-Ferrous Metals|Aluminum|Electricity|Gas;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection) from construction of gas power plants;;;;;;;;
Scrap|Non-Ferrous Metals|Aluminum|Electricity|Hydro;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection) from construction of hydro power plants;;;;;;;;
Scrap|Non-Ferrous Metals|Aluminum|Electricity|Nuclear;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection) from construction of nuclear power plants;;;;;;;;
Scrap|Non-Ferrous Metals|Aluminum|Electricity|Solar;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection) from construction of solar photovoltaics and concentrated solar power;;;;;;;;
Scrap|Non-Ferrous Metals|Aluminum|Electricity|Transmission and Distribution;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection) from electricity transmission and distribution;;;;;;;;
Scrap|Non-Ferrous Metals|Aluminum|Electricity|Wind;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection) from construction of wind turbines;;;;;;;;
Scrap|Non-Ferrous Metals|Aluminum|Residential;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection) from residential sector;;;;;;;;
Scrap|Non-Ferrous Metals|Aluminum|Transportation|Infrastructure;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection) from fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Scrap|Non-Ferrous Metals|Aluminum|Transportation|Vehicle Stock;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection) from vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Scrap|Non-Ferrous Metals|Copper;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection);;;;;;;;
Scrap|Non-Ferrous Metals|Copper|Commercial;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection) from commercial sector;;;;;;;;
Scrap|Non-Ferrous Metals|Copper|Electricity;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection) from electricity generation sector;;;;;;;;
Scrap|Non-Ferrous Metals|Copper|Electricity|Biomass;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection) from construction of biomass power plants;;;;;;;;
Scrap|Non-Ferrous Metals|Copper|Electricity|Coal;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection) from construction of coal power plants;;;;;;;;
Scrap|Non-Ferrous Metals|Copper|Electricity|Gas;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection) from construction of gas power plants;;;;;;;;
Scrap|Non-Ferrous Metals|Copper|Electricity|Hydro;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection) from construction of hydro power plants;;;;;;;;
Scrap|Non-Ferrous Metals|Copper|Electricity|Nuclear;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection) from construction of nuclear power plants;;;;;;;;
Scrap|Non-Ferrous Metals|Copper|Electricity|Solar;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection) from construction of solar photovoltaics and concentrated solar power;;;;;;;;
Scrap|Non-Ferrous Metals|Copper|Electricity|Transmission and Distribution;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection) from electricity transmission and distribution;;;;;;;;
Scrap|Non-Ferrous Metals|Copper|Electricity|Wind;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection) from construction of wind turbines;;;;;;;;
Scrap|Non-Ferrous Metals|Copper|Residential;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection) from residential sector;;;;;;;;
Scrap|Non-Ferrous Metals|Copper|Transportation|Infrastructure;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection) from fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Scrap|Non-Ferrous Metals|Copper|Transportation|Vehicle Stock;Mt/yr;;Total potential of copper scrap material as a result of end of life products (before collection) from vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Scrap|Non-Metallic Minerals|Cement;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection);;;;;;;;
Scrap|Non-Metallic Minerals|Cement|Commercial;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection) from commercial sector;;;;;;;;
Scrap|Non-Metallic Minerals|Cement|Electricity;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection) from electricity generation sector;;;;;;;;
Scrap|Non-Metallic Minerals|Cement|Electricity|Biomass;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection) from construction of biomass power plants;;;;;;;;
Scrap|Non-Metallic Minerals|Cement|Electricity|Coal;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection) from construction of coal power plants;;;;;;;;
Scrap|Non-Metallic Minerals|Cement|Electricity|Gas;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection) from construction of gas power plants;;;;;;;;
Scrap|Non-Metallic Minerals|Cement|Electricity|Hydro;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection) from construction of hydro power plants;;;;;;;;
Scrap|Non-Metallic Minerals|Cement|Electricity|Nuclear;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection) from construction of nuclear power plants;;;;;;;;
Scrap|Non-Metallic Minerals|Cement|Electricity|Solar;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection) from construction of solar photovoltaics and concentrated solar power;;;;;;;;
Scrap|Non-Metallic Minerals|Cement|Electricity|Transmission and Distribution;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection) from electricity transmission and distribution;;;;;;;;
Scrap|Non-Metallic Minerals|Cement|Electricity|Wind;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection) from construction of wind turbines;;;;;;;;
Scrap|Non-Metallic Minerals|Cement|Residential;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection) from residential sector;;;;;;;;
Scrap|Non-Metallic Minerals|Cement|Transportation|Infrastructure;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection) from fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Scrap|Non-Metallic Minerals|Cement|Transportation|Vehicle Stock;Mt/yr;;Total potential of cement scrap material as a result of end of life products (before collection) from vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
